"","screen_name","text","place_full_name","country","lng","lat"
"1537","Marley__Monroe","I got a Disease - Matchbox Twenty 
#TechieTunes https://t.co/T188JCdByJ","Carbondale, IL","United States",-89.2232095,37.71765405
"1546","BBXPAL","either I’m sick or I’m definitely sick","Los Angeles, CA","United States",-118.4119065,34.0207895
"1570","saucemansully","@jonthecubsfan @TheJamTVShow @FeliciaLawrence @Daniellerobay @BpopeTV You gotta take better care of yourself. There is no time for you to be sick.","Homewood, IL","United States",-87.66519285,41.5589405
"1576","DrOziOfficial","I have been really sick, and I dont know what is up. But I am still coming through to play tonight.","Grapevine, TX","United States",-97.079654,32.93183385
"1577","EdSayGo","@thistallawkgirl It’s very unhealthy that I walk around ready to fight one of these bags is garbage","Manhattan, NY","United States",-73.9685415,40.780709
"1585","jaazminee_d","This girl brings McDonald’s breakfast and soda in every morning and lunch to work and complains she’s always sick 🙄🙄🙄","Mesa, AZ","United States",-111.7375657,33.4057545
"1616","AudreyPaxman_","I feel so sick lol. I don’t want to work tonight.","Boise, ID","United States",-116.238001,43.598033
"1626","campbell_longg","@jackbarna3 Dude but those off the rip sick ass mother truckin layups tho","Mount Pleasant, SC","United States",-79.837322,32.8479465
"1635","MysBianca","Dr. Eimerbrink packed so much truth into her remarks. “Sick people have a really hard time keeping their jobs”. #EngageDallas2018 https://t.co/UMGMiGo9wC","Dallas, TX","United States",-96.7617535,32.8198585
"1636","xjulianicole","i hate that i got sick the day i leave to florida 🤒","Azle, TX","United States",-97.5425839,32.8875775
"1667","jahcobeh","This morning Becca woke up at 6:00am and even though she’s sick and out of work, she made me breakfast and lunch bc I didn’t eat lunch @ Work the last couple days and bc she loves me. I really do love this woman","Edinburg, TX","United States",-98.1524189,26.3475255
"1699","alina_potts","“We tend to put historical events in boxes... when it is more of a conflagration.” #War, #disease, #19thAmendment (only 98 years ago!) https://t.co/dy6qUJITez","Washington, DC","United States",-77.0143985,38.89860285
"1715","umm_jackie3","Dawg, @QueenNaijaaa SNAPPED on Medicine. I felt that.","Atlanta, GA","United States",-84.433106,33.7671944
"1716","XxFICT10NxX","@EdKrassen @Mopar426Power No games are responsible for sick people they should get help instead of killing people I can gamble  kill people have sex with people in a game doesn’t mean I’m going to go rape somebody or shoot up a school or commit suicide I have suicidal thoughts and depression games help me","Purcellville, VA","United States",-77.711047,39.1320348
"1739","emmawebsta","I wonder how many times I can listen to This Is Me in a row without getting sick of it. (Countless, probably.) https://t.co/YpWIFWOawE","Chicago, IL","United States",-87.732013,41.83358445
"1765","sipneverslip","I'm so sick of all of you. I haven't left my house in over two months, went sober three months ago, and now tbis bullshit happens and it's petty enough to be thrown on his twitter lmaooooo, give me a fucking break. BiPolar substance abusers stay away from me.","Illinois, USA","United States",-89.2665075,39.7393005
"1813","davino1959","@YoanaVega10 @jjvalleycreek #Vaccine induced lifetime of terror and sick.     #BigPhaema #FDA  #FAIL #Merck #Hospital #RN #Morons #Terrorism #CDC #Autism #LegalNAMEfraud #BirthCertificate #Slavery #register","Lake Worth, FL","United States",-80.08421185,26.61702865
"1829","BeamMeUpScotee","Lifetime limits on Healthcare mean if you get too sick we'll let you die. https://t.co/NCaEJ396up","Oregon, USA","United States",-120.5834015,44.14543645
"1838","teacake1213","@funder This is sick!!!!!!!","McDonough, GA","United States",-84.15114925,33.44242435
"1871","mads_29graham","Alison Krauss &amp; Union Station is exactly what everyone needs when they’re sick 💞","Pittsburgh, PA","United States",-79.98068965,40.4313888
"1895","leethoma1313","@PhilMcCrackin44 What a blast of hot gas from an ass😂🤣🤪go back to your hole troll!Before your racist,rapists,satanic and treasonous ass is put 6 ft under! Got Hillary porn🤯👿Sick bitch!!! No wonder why your kid so ugly&amp; distorted as the day is long. Payback from my bud upstairs😂eternal burn! https://t.co/XQb80Opztw","Kingston, MA","United States",-70.7460865,41.9937215
"1933","VoelklRichard","@thebradfordfile Sick wake dumbocRats should never hold office again!","Covina, CA","United States",-117.8819695,34.087543
"1943","Taylor_Martinaa","I feel like I’m always sick 😞😷","Hagerstown, MD","United States",-77.7289885,39.6344608
"1963","itstykid","Sick of this weather","Tallahassee, FL","United States",-84.266174,30.4762155
"1980","DebordKatie","@rmcclead @DanLinna @wihender Or @rmcclead it sounds like we have just been to the Honduran jungle searching for a lost legal innovation and contracted a Neglected Tropical Disease.  Speaking of which, I highly recommend D Preston’s Lost City of the Monkey Gods.","Denver, CO","United States",-104.9220935,39.713563
"1995","spamalaspazzala","You know you’re sick when: you call the front desk of your work to call out and you start crying because you feel bad about calling out. Also, perhaps you’re under too much stress at at work. 🤔 #DeepThoughts #Sick","Boulevard Park, WA","United States",-122.3115776,47.50634155
"2025","brittbemackin_","I feel like I'm getting sick ☹️","North Carolina, USA","United States",-79.86103375,35.1704985
"2036","mikaylaxdavis","The boba place opened early for me. God being rich is sick.","Orlando, FL","United States",-81.36777265,28.50167835
"2039","rebeccakhalifa","Sick if everyone and their SHIT","Nutley, NJ","United States",-74.1572634,40.82178575
"2060","robnucatola","@ChrisW0417 Yep.  The power of Nature is sick!","Tallahassee, FL","United States",-84.266174,30.4762155
"2062","Dying_To_Vibe","Seriously fuck my life. Everyone has this “you’re a fuck up” mentality. I’m so sick and tired of being under appreciated and shit on. I’m done. I’m out. I hope I struggle till I’m dead.","North Las Vegas, NV","United States",-115.133373,36.2491245
"2071","DJPie","Tiger leads. My Motorola RAZR is blowing up and people are getting really sick of my custom ""Feel Good, Inc."" ringtone.","Illinois, USA","United States",-89.2665075,39.7393005
"2103","CallHimMiami","About to make a remix to medicine","Virginia, USA","United States",-79.420865,38.0033755
"2104","alywalton","Your love is my medicine","Broomfield, CO","United States",-105.0722312,39.9472495
"2111","shay_johanna","Still feeling sick and lazy! 😫","Whiteriver, AZ","United States",-109.97122,33.856037
"2114","JonDoe_Xo","I took a whole sick day to get shit ready for lil sis 21st 🔥✨👌🏽 @ChynaXO_","Waterford, CT","United States",-72.1442815,41.362914
"2116","_LoyalFirssst","i feel so sick , ion even drink henny 😭","Houston, TX","United States",-95.4464865,29.8384948
"2138","Megan_McGraw7","Marcus just told me to ""get my ass to the gym"" then proceeded to call me ""Rollie Pollie Ollie"" I'm sick","Kent, OH","United States",-81.35043465,41.1602503
"2150","misscourtney28","@JennaFryer hey Jenna did you know that march is national kidney disease awareness month which it's important to me to bring to the forefront because I fight this everyday","Martinsville, VA","United States",-79.8563,36.6622065
"2162","cherry_LA","@ValerieComplex Sorry you were sick feel better soon","Manhattan Beach, CA","United States",-118.400884,33.8894865
"2193","Lynny222","@ConleyMiriam @mitchellvii @6549lmartin And the disease that will cause.  More people dying at the filthy hands of liberals.","North Bellport, NY","United States",-72.93801145,40.7880115
"2205","858tennis","@greta They are all sick Greta. Still miss you on Fox.","Skidaway Island, GA","United States",-81.0563195,31.929099
"2229","kouturekupcake","i’m sick of having to wear a bra to work everyday!!!! normalize women’s nipples these shits uncomfortable","Minneapolis, MN","United States",-93.2620465,44.9706105
"2258","_tyarashhellee","idk here's some food for thought, instead of being sick and twisted and being mad cause others are happy, how about you get off your ass and find YOUR happiness and maybe put a little positivity in the air so things start to lighten up for you 🤷🏽‍♀️","Huber Heights, OH","United States",-84.092503,39.8642389
"2288","the_TimBoston","@krassenstein @ajdubinsky Trump suffers FALSE MEMORY a disease possibly, dementia related, called confabulation.  Not false news. The world is not false. His mind is perceiving things very very wrong. The worst wrong for a POTUS.","Boston, MA","United States",-71.0887125,42.3136695
"2289","HealthDouglasCo","#prediabetes increases risk for heart disease and stroke. But taking action will decrease your risk. Learn more at https://t.co/ooppMJkffj. https://t.co/DzEJwrTqKQ","Omaha, NE","United States",-96.053431,41.275721
"2312","CTyGrooves","Whatever I’m feeling please let this go away. I hope I’m not getting sick 🤒","Brookhaven, GA","United States",-84.3150705,33.8745435
"2313","jennpiano","I am NOT gettin another iPhone.  I pay $600 over the course of my contract for my phone and I deserve a product that still works well after that contracts ends.   I am sick and tired of the iPhone getting all glitchy and slow after only 15 or 16 months...  I realize that Apple wa","Palm Beach Gardens, FL","United States",-80.121529,26.84080665
"2387","r98121261","Rachel Dolezal who wants &amp; claims to be black but have white parents. Gets own Netflix show. Lib's have turned our country into crazy land. Men want to be female still swinging a Johnson are called she. Women want to be men... same thing. Sick!","Republic, MO","United States",-93.463637,37.125845
"2396","tyler__jennings","Idk how people take naps daily. Unless I am sick or work more than 10 hours, I’m not tired enough for a nap.","Nolanville, TX","United States",-97.6162454,31.079734
"2416","LISTENtoSIN","Sick I don’t have my microphone here with me","Penn Wynne, PA","United States",-75.2716135,39.986219
"2417","TripletClyde","@realDonaldTrump I’m getting sick 😷 of winning!
😂 just kidding. President Trump America can never  repay the great things you have done. OOPS I FORGOT YOU DO THIS ALL FOR FREE.
So excited 😆 to be a American! Thank you 🙏 We love our President!","Lakewood, CO","United States",-105.1233195,39.685852
"2419","morganellys","my boyfriend knows how much I like to wear his t-shirts and sweatshirts, but he also knows that I’m allergic to different types of laundry detergents so he switched his laundry detergent for me so I wouldn’t get sick. I love him 💍","Florida, USA","United States",-83.804475,27.698682
"2441","Num1TrumpFan_","@KurtSchlichter I think joe needs another pron star the one beside him looks a little bit Sick but I think Joe wants a male porn Star","West Virginia, USA","United States",-80.18183465,38.9201425
"2457","CallHimMiami","Girl you ain't gone ever learn
Play with fire you get burned
I don't think you'll understand
Until I hit you where it hurts
So I guess I know what I gotta do
Give you a taste of your own medicine https://t.co/6RUbzdblwt","Virginia, USA","United States",-79.420865,38.0033755
"2480","thcashh","uhuh, skip all these interludes i'm sick of frank oceans mom bombing me","Miami, FL","United States",-80.2333285,25.7823537
"2512","DrJCoftheDC","Think outside the box in athletics @OhioStAthletics and in medicine @OhioStateMed @OSUWexMed! @stevegabbe told my classmates &amp; I @OhioStateMed white coat ceremony (2014) how each year is like 1 lap of a mile &amp; #AnythingisPossible like being a Med stdnt &amp; breaking a world record. https://t.co/MQ6lY4gDjS","Columbus, OH","United States",-82.98577205,39.9946835
"2522","123oneway","@DLoesch @SecretService Sick demented and poor loser thinking.","Wisconsin, USA","United States",-89.5694915,44.900818
"2526","thecookiemaker","@manders_af Dreams when I’m sick are always the weirdest.","South Salt Lake, UT","United States",-111.89980465,40.706168
"2528","tomyu327","When you've been rushing some for a deliverable only to realize they're sick 🙄...felt awful but...I kinda need it 🙄😂💁🏻‍♂️ #oops #tgif https://t.co/ugCULEjKnZ","Antioch, CA","United States",-121.796444,37.9856605
"2593","_BossFitz","When none of the tutors in the accounting lab know how to fill 1120’s 😭 I’m sick","Salem, MA","United States",-70.9075225,42.515052
"2600","_tyarashhellee","people really speak negativity into other people's lives that is so sick.","Huber Heights, OH","United States",-84.092503,39.8642389
"2610","ambersweiss","my dog is sick and it’s the worst feeling in the world :(","Katy, TX","United States",-95.824553,29.78399575
"2634","MalikG24","I’m sick of dis nigga 🤦🏾‍♂️","Mobile, AL","United States",-88.1615555,30.683649
"2640","cmsandoval16_","""The TATmobile""

Because every Super Hero needs sick ride to save… https://t.co/gEnPjw37Wo","Riverton, UT","United States",-111.96913955,40.51655265
"2649","JenMadeUlook","https://t.co/IS0BlzSUuE via @youtube ""sick wid it like @e40 and tha click wit it"" woke up feeling this this reminds me of @JustADL 1st car many times we risked our lives slapping this Ang teaching herself to drive a stick.","San Francisco, CA","United States",-122.4359785,37.7706565
"2667","ALL4theLUVof_LT","I’m confused as to why yogurt is banned in ever country but the US , because it’s unhealthy but Americans sell it and still keep marketing it as healthy?? Its all sugar fam! Any good bacteria in it is destroyed by all the sugar in it ! 🤦🏽‍♀️💯🤷🏽‍♀️","Kansas, USA","United States",-98.319925,38.49819605
"2679","babyappalachian","@_realhulkhogan crows are bad medicine my friend","Albertville, AL","United States",-86.2061195,34.263264
"2685","MissCB_Fab","IM SICK OF IT!!!! Especially all these damn reboots! Like y’all are seriously going to keep saying no to all these new screen writers? https://t.co/vAkTR8PTkV","Dallas, TX","United States",-96.7617535,32.8198585
"2748","MegganWaneckk","The after party’s were so sick last night I love #BurtonUSOpen week!!!!!!!","Vail, CO","United States",-106.362797,39.624827
"2776","YouLoveAMBZ","@Alexandria_Said Bout sick as hell lol","Terre Haute, IN","United States",-87.382054,39.457639
"2797","mraufer2518","When my massage gets canceled BC the therapist is sick.. 😣😣😣😣 ruins my whole day","Fostoria, OH","United States",-83.414131,41.1655885
"2818","Lexxx_____","@themarriedbetch Dude same! I always find myself giving up bcus I get so unhealthy (mentally) lol.","Tustin, CA","United States",-117.802135,33.73378335
"2829","Jmetcalf12","I think the “children” who faced death in their own school wanting to have stricter gun laws is a little different than not wanting fucking homework Elizabeth. Sick analogy. https://t.co/7vZ02Op9Tk","Foxborough, MA","United States",-71.2336905,42.06064915
"2847","ladava","@Christin2402 YWSM  Oh no!  I hope they are feeling better today.  I hope you don't get sick.  It was a good Thursday.  Thank you.  I kept waking up because I was cold.  Hugs&amp;Luv2U2","Maryland, USA","United States",-77.2369685,38.8051145
"2850","allywalker1","This is interesting....and sick. https://t.co/6qbxHCcu1k","Los Angeles, CA","United States",-118.4119065,34.0207895
"2878","aaronibal","I haven’t gotten sick last year or this year I just watch as you all are dying","California, USA","United States",-119.3066075,37.2691755
"2891","MomsMerlot","I’ve been sick these past few days and my toddler has been all about the cuddles. https://t.co/XtjfoT60ht","Illinois, USA","United States",-89.2665075,39.7393005
"2894","nchute2010","This is so sick, so REPREHENSIBLE so UNAMERICAN that I'm w/o words. @realDonaldTrump can't be impeached SOON enough &amp; take @VP WITH HIM @robreiner @RepAdamSchiff @maddow @SRuhle @nytopinion @washingtonpost @Lawrence @jaketapper @TheBeatWithAri https://t.co/3QERpq00bn","Dallas, TX","United States",-96.7617535,32.8198585
"2902","enimsahJ__x","Man at Fort Lee the Air Force cut up so bad and had a hotel party, costs thousands of dollars in damage and shit...every hour on the hour they had a uniform inspection lol they was SICK","Streetsboro, OH","United States",-81.3394744,41.247592
"2945","tmj_ny_erdoc","Can you recommend anyone for this #job in #MontourFalls, NY? https://t.co/ULbIPFcw3y #NursePractitioner #Hiring #CareerArc","Montour Falls, NY","United States",-76.849172,42.3487755
"2957","tmj_atl_intmed","Want to work at Locum Leaders? We're #hiring in #Atlanta, GA! Click for details: https://t.co/siEr1WFbZ8 #InternalMedicine #Job #Jobs #CareerArc","Atlanta, GA","United States",-84.433106,33.7671944
"3043","Txtigr41Scott","@DLoesch @SecretService That is sick.","Van Alstyne, TX","United States",-96.5725065,33.4174125
"3061","lortarzan","I want a girl with good grammer, but a sick mind. Like, her texts always have punctuation, but she’s going to Hell for the stuff she says. 😂🤞🏾😝","Baltimore, MD","United States",-76.62048175,39.284713
"3071","Caseeyco_","@RavishingBre Period!!!😂 btcs b too sick when they hear them two names togetha...","Garden City, MI","United States",-83.34512,42.325387
"3099","herdATs","Fellow AT’s, there’s still time to register for this years West Texas Sports Medicine Competition April 9! @RAMS_sportsmed @OHS_Sports_Med","Hereford, TX","United States",-102.392996,34.823149
"3135","juliawb","Anti-choice isn’t necessarily pro-life. I get sick of conservatives who judge Democrat women as baby killers just because we trust women &amp; believe in the rights of born people.","Bon Air, VA","United States",-77.5697735,37.5188375
"3138","MO_physician","We're #hiring! Read about our latest #job opening here: Physician (Sleep Medicine) - https://t.co/EsuV1XOusk #Physician #Columbia, MO #Veterans #CareerArc","Missouri, USA","United States",-92.4367735,38.3045585
"3151","tmj_LAM_health","We're #hiring! Click to apply: Emergency Medicine - Physician - ED - https://t.co/e77n3nK6X4 #EmergencyMedicine #Olla, LA #Job #Jobs #CareerArc","Louisiana, USA","United States",-91.4010085,30.937336
"3158","OkayJazmin","Bro I sick of my daddy going to Louisiana without me 🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️","Fort Worth, TX","United States",-97.2859135,32.7799665
"3185","Marshaye_Meyers","🌍 Matthew 25:36 “...I was sick, and you cared for me. I was in prison, and you visited me.”

✨… https://t.co/GhO6e9S4LQ","St Charles, MO","United States",-90.51768415,38.7930465
"3208","GlantonSmith","@KokopelliEnt Facts are subject to interpretation and conjecture. Here's a fact: coal miners in there 20s are dying from black lung disease as we speak. Water sources are being contaminated from #fracking. Pick your poison carefully.","Los Angeles, CA","United States",-118.4119065,34.0207895
"3226","Jess_Intermtn","Beautiful morning in #Orlando as #ACC18 kicks off with the world’s top CV clinicians and researchers here to share, innovate, and collaborate to enhance best practices &amp; defeat heart disease. @ACCinTouch @IntermtnMedCtr https://t.co/TYfsHa7e20","Florida, USA","United States",-83.804475,27.698682
"3237","errrcca","When I’m sick, I turn into such a baby 😞 I just want my man 😭","Davis, CA","United States",-121.739163,38.5585535
"3238","WI_physician","Want to work in #Marshfield, WI? View our latest opening: https://t.co/11EZAgEySS #EmergencyMedicine #Job #Jobs #Hiring #CareerArc","Marshfield, WI","United States",-90.169485,44.6659225
"3258","MajorSlander","Sick world","Durham, NC","United States",-78.8954403,35.9909825
"3287","kunovski","@SouthwestAir As a Frequent Flyer for 11 yrs, I'm extremely disappointed with service at Sky Harbor 2day! My elderly and sick Father is in a wheelchair and lines for these people sadly are too long. From ticketing- to waiting for a male TSA to tap him down...unexceptable","Phoenix, AZ","United States",-112.1246767,33.5528626
"3351","bearsbeetsbutts","I’m here for this. She does comedy so well but it’s sick to see her in more serious roles. https://t.co/eEPfnwfJbQ","Greenwood, IN","United States",-86.1453205,39.58303865
"3369","__royalltyyy","@loyaltyfirstmel You can get sick from not sleeping for days so bye.","Youngstown, OH","United States",-80.6395405,41.105271
"3374","Mariee_Wassuh","I’m at home sick but I’m lit","Lancaster, TX","United States",-96.785531,32.604786
"3419","CritchfieldC","Need something fun to do. So sick of the sam ol boring crap.","Indiana, USA","United States",-86.441236,39.7665555
"3436","StillCool_22","If you not ugly don’t hmu sick of y’all boujie women","Orlando, FL","United States",-81.36777265,28.50167835
"3476","claytonfarris","Catch me on Jane the Virgin tonight!  It’s true what everyone says about @HereIsGina she was so welcoming and bad ass. Give it a watch if you aren’t sick of my face yet! https://t.co/q94VCywpqe","Los Angeles, CA","United States",-118.4119065,34.0207895
"3496","justjakyla","I’m tired of boys from chicago, all y’all fit into the same 3 categories and I’m sick","Chicago, IL","United States",-87.732013,41.83358445
"3576","matthewdbehling","so sick https://t.co/MHh1Vuz4iE","Arizona, USA","United States",-111.93171085,34.16825365
"3583","Alontiax0_","Im sick af &amp; I been smoking every time I inhale my throat be on FIRE wdf","Stamford, CT","United States",-73.554097,41.0983345
"3634","SusanBro1821","Sick and so tired... https://t.co/ThApYnRdpa","Chesapeake, VA","United States",-76.2958955,36.7632155
"3668","bon_avenir","This school just makes me sick, literally 🤧","Wright-Patterson Air Force Base, OH","United States",-84.0707096,39.8065493
"3687","VanBradeen","Sick of identity politics and putting everyone in color groups—lets love like a Jesus loves. Buy Live Love at Amazon https://t.co/12TtSV7ptz","Town and Country, WA","United States",-117.42291635,47.727995
"3719","Kelly_Watkins21","Being dehydrated is the worst when you feel sick, because rehydrating feels like the worst thing to ever happen, even though it's helping you.","Utah, USA","United States",-111.547029,39.499762
"3722","montbummery","real heads know kurt weill goes hard af. this is sick, sounds like the caretaker or sumn https://t.co/qzkdfb5Oey","Morgantown, WV","United States",-79.94383735,39.6293146
"3725","sick_cone1","@d_dawg_killa See what I did there?","Red Hill, SC","United States",-78.976213,33.7661365
"3729","RoseyEveryday","Feel like I’m getting sick... took some medicine I keep in my class to fight off whatever bug wants to hit me. Fingers crossed! I don’t want my weekend to be ruined 🙅🏻‍♀️","Paradise, NV","United States",-115.1351649,36.0609645
"3734","RUGGZMusic","Bonus points: now I have to miss @Excision (and @diontimmermusic and @monxxbeats) on his tour for the first time in 4 years and get to go to Ultra Miami looking like an acne-riddled middle schooler because of the lasting effects of this disease life is SO GOOD WOO :):):):):):):) https://t.co/RHqk0x5FQm","Texas, USA","United States",-100.0768885,31.1688935
"3755","mercyy1995","Why did i had to get sick 😷😷","Paradise, NV","United States",-115.1351649,36.0609645
"3776","sick_cone1","Suckkk a fat one https://t.co/p6XUPWUQQ6","Red Hill, SC","United States",-78.976213,33.7661365
"3786","theamzs","I’m getting sick at what is the absolute worst time someone kill me","Schiller Park, IL","United States",-87.8686855,41.9593837
"3805","OldBaj","@ttoiiii_ I know you make em Sick. Toi w no Waist","New Orleans, LA","United States",-90.011008,29.982601
"3818","wtfdoicare33","@VP @POTUS https://t.co/64FcG0V6GP Pence is a LIAR like @realDonaldTrump So Sick of all the LIES when they are RAPING TAXPAYERS Destroying American for GREED #TraitorPence Will be OUSTED 🖕🏼🤡","Toledo, OH","United States",-83.574671,41.6565905
"3827","onlydchzusetwtr","""why do we always get sick after we hang out?"" https://t.co/PNUOWlMvwF","New Milford, NJ","United States",-74.0180395,40.9329624
"3868","just_1_KNIGHT","These kids done got me sick 😒","Norfolk, VA","United States",-76.255686,36.895082
"3873","katytip","I'm either sleep deprived or sick... I got McDonald's breakfast and almost THREW AWAY my bag with hash brown STILL inside. Thank goodness this didn't happen. #mickeyds #hashbrownlove","Tulsa, OK","United States",-95.9136419,36.1093915
"3901","_malibooo","it’s 2018 and you still want your friends to encourage toxicity? you still want to make excuses for it? better question.. r u sick? fever? learn ur fuckin worth.","Rosenberg, TX","United States",-95.76739475,29.532056
